,id,user,text,date,descortes,cortes,neutral
55,64,petrogustavo,"No podemos cantar victoria pero el mes de septiembre es el mes durante el año donde murieron menos líderes sociales y uno de los de menos masacres y muertes de excombatientes que firmaron por la paz.

https://t.co/NGBhvzKDOX",2022-10-02 23:59:06+00:00,0.3474605083465576,0.26635608077049255,0.38618341088294983
56,65,petrogustavo,https://t.co/DfsnmI44bf,2022-10-02 16:42:39+00:00,0.29723310470581055,0.44815605878829956,0.2546108067035675
57,66,petrogustavo,https://t.co/HQ7AQdHZvj,2022-10-02 16:35:21+00:00,0.34220024943351746,0.41753900051116943,0.24026069045066833
58,67,petrogustavo,https://t.co/VsknSKZYUI,2022-10-02 16:13:01+00:00,0.2628682851791382,0.4849405586719513,0.25219112634658813
59,68,petrogustavo,"La jornada convocada por la Iglesia Catolica: ""No matarás, no desapareceras"" es un enorme aporte a la Paz de Colombia. GRACIAS. https://t.co/Tq2zhf4h81",2022-10-02 14:20:48+00:00,0.07966072112321854,0.1695466935634613,0.7507926225662231
60,69,petrogustavo,"El segundo hombre más rico de Colombia está de acuerdo con nuestra propuesta tributaria.

Quien gana más debe pagar más. A eso se le llama justicia tributaria y social y quien cree en estos conceptos tiene conciencia social.
 https://t.co/AGdZRV9EL6",2022-10-02 14:12:22+00:00,0.2914664149284363,0.3267958462238312,0.38173770904541016
61,70,petrogustavo,https://t.co/9bC6XvVOj0,2022-10-02 01:45:46+00:00,0.36326390504837036,0.4360818862915039,0.2006542831659317
62,71,petrogustavo,https://t.co/UTuyLFZDNq,2022-10-02 01:25:39+00:00,0.279524028301239,0.4113823473453522,0.3090936243534088
63,72,petrogustavo,https://t.co/i3hm1H5h58,2022-10-01 20:01:14+00:00,0.29681262373924255,0.46149295568466187,0.24169443547725677
64,73,petrogustavo,Hoy superamos la velocidad del sonido en un Kfir. Compartimos con el cuerpo de pilotos élite de la Fuerza Aérea https://t.co/SCVkJTOSXQ,2022-10-01 19:37:51+00:00,0.3816969096660614,0.263649046421051,0.3546540439128876
65,74,petrogustavo,"Duele mucho ver partir a un joven lleno de sueños y con todo un futuro por delante. A la familia del boxeador santandereano Luis Quiñones: un abrazo de corazón, lamento mucho este difícil momento. https://t.co/GYKh3dj6pN",2022-09-30 13:12:09+00:00,0.43729349970817566,0.3619502782821655,0.2007562667131424
66,75,petrogustavo,Una enorme felicitación a nuestra vicepresidente. https://t.co/hqnD2E0YSf,2022-09-30 03:10:12+00:00,0.28475257754325867,0.3218141496181488,0.3934333026409149
